ts,t_ext,h_ext,t_C_cal,h_C_cal,t_L_cal,h_L_cal
1637056104737000000,3.3,95.4,5.4,33.19,6.3,27.8
1637055801671000000,3.3,95.4,5.4,33.19,6.3,27.32
1637055498281000000,3.3,95.4,5.4,33.19,6.3,27.32
1637055194814000000,3.3,95.4,5.4,33.19,6.3,27.32
1637054891497000000,3.3,95.4,5.4,33.19,6.3,27.32
1637054588203000000,3.3,95.4,5.4,33.19,6.3,27.32
1637054285235000000,3.3,95.4,5.4,33.19,6.3,27.8
1637053981607000000,3.3,95.4,5.4,33.19,6.3,27.8
1637053677880000000,3.3,95.4,5.4,33.19,6.3,27.32
1637053374044000000,3.3,95.4,5.4,33.19,6.3,27.8
1637053070490000000,3.3,95.4,5.5,33.19,6.3,27.32
1637052766842000000,3.3,95.4,5.5,33.19,6.3,27.8
1637052463852000000,3.3,95.4,5.5,33.19,6.3,27.8
1637052160441000000,8.5,78.1,5.5,33.19,6.3,27.8
1637051857439000000,7.9,80.3,5.5,33.19,6.3,27.8
1637051554467000000,7.4,82.1,5.5,33.19,6.3,27.8
1637051251210000000,6.8,83.8,5.5,33.19,6.3,27.8
1637050947960000000,6.3,85.8,5.5,33.19,6.3,27.8
1637050644893000000,5.5,89.0,5.5,33.19,6.3,27.32
1637050341631000000,4.7,91.6,5.5,33.19,6.4,27.32
1637050038238000000,4.5,92.4,5.5,33.19,6.4,27.32
1637049735484000000,3.9,94.5,5.5,33.19,6.4,27.8
1637049432717000000,3.5,95.9,5.5,33.19,6.4,27.8
1637049129512000000,3.2,97.3,5.5,33.19,6.4,27.8
1637048825948000000,2.8,98.4,5.5,33.19,6.4,27.8
1637048522117000000,2.4,99.3,5.6,33.19,6.4,27.8
1637048219262000000,2.1,97.7,5.6,33.19,6.4,27.8
1637047929306000000,2.2,99.7,5.6,33.19,6.4,27.8
1637047625929000000,2.1,99.9,5.6,33.19,6.4,27.8
1637047309953000000,2.0,99.9,5.6,33.19,6.4,27.8
1637047006558000000,1.5,99.9,5.6,33.19,6.4,27.32
1637046702682000000,0.8,99.6,5.6,33.19,6.4,27.8
1637046399656000000,0.9,99.8,5.6,33.19,6.4,27.8
1637046096575000000,0.8,98.3,5.6,33.19,6.4,27.8
1637045793671000000,0.9,98.2,5.6,33.19,6.4,27.8
1637045490992000000,1.1,98.0,5.6,33.19,6.4,27.32
1637045187290000000,1.4,97.9,5.6,33.19,6.4,27.32
1637044883828000000,1.6,95.4,5.6,33.19,6.4,27.8
1637044580635000000,2.1,94.1,5.6,33.19,6.4,27.8
1637044277636000000,2.6,94.3,5.6,33.19,6.5,27.32
1637043974693000000,3.0,94.6,5.7,33.19,6.5,27.32
1637043671002000000,3.2,94.7,5.7,33.19,6.5,27.32
1637043368148000000,3.3,94.3,5.7,33.19,6.5,27.32
1637043065042000000,3.3,94.4,5.7,33.19,6.5,27.32
1637042761744000000,3.3,95.2,5.7,33.19,6.5,27.8
1637042458647000000,3.2,94.5,5.7,33.19,6.5,27.32
1637042154782000000,3.3,95.3,5.7,33.19,6.5,27.32
1637041851087000000,3.2,95.1,5.7,33.19,6.5,27.32
1637041547864000000,3.4,94.4,5.7,33.19,6.5,27.32
1637041257446000000,3.4,95.3,5.7,33.19,6.5,27.8
1637040941269000000,3.2,95.6,5.7,33.19,6.5,27.32
1637040638130000000,3.0,96.7,5.7,33.19,6.5,27.32
1637040334313000000,3.0,95.8,5.7,33.19,6.5,27.32
1637040030734000000,3.0,96.0,5.7,33.19,6.5,27.32
1637039727379000000,3.0,96.0,5.7,33.19,6.5,27.32
1637039424614000000,3.0,95.7,5.7,33.19,6.5,27.32
1637039121659000000,3.0,95.5,5.8,33.19,6.5,27.32
1637038817889000000,3.0,95.0,5.8,33.19,6.5,27.32
1637038515214000000,3.1,95.3,5.8,33.19,6.6,27.32
1637038211672000000,3.0,95.2,5.8,33.19,6.6,27.32
1637037908931000000,3.1,94.6,5.8,33.19,6.6,27.32
1637037605266000000,3.2,94.7,5.8,33.19,6.6,27.32
1637037301721000000,3.4,94.5,5.8,33.19,6.6,27.32
1637036998676000000,3.4,94.6,5.8,33.19,6.6,27.32
1637036695726000000,3.4,94.4,5.8,33.19,6.6,27.32
1637036392353000000,3.4,94.6,5.8,33.19,6.6,27.32
1637036088801000000,3.4,95.2,5.8,33.19,6.6,27.32
1637035785727000000,3.4,95.3,5.8,33.19,6.6,27.32
1637035482363000000,3.3,95.7,5.8,33.19,6.6,27.32
1637035178924000000,3.3,95.4,5.8,33.19,6.6,27.32
1637034875617000000,3.4,95.4,5.9,33.19,6.6,27.32
1637034572602000000,3.4,95.4,5.9,33.19,6.6,27.32
1637034269714000000,3.4,95.5,5.9,33.19,6.6,27.32
1637033966525000000,3.4,95.3,5.9,33.19,6.6,27.32
1637033663427000000,3.4,95.2,5.9,33.19,6.6,27.32
1637033360068000000,3.3,95.9,5.9,33.19,6.6,27.32
1637033056725000000,3.3,95.7,5.9,33.19,6.6,27.32
1637032753595000000,3.5,94.6,5.9,33.19,6.8,27.32
1637032450509000000,3.6,94.7,5.9,33.19,6.8,27.32
1637032147309000000,3.6,95.1,5.9,33.19,6.8,27.32
1637031843841000000,3.4,95.0,5.9,33.19,6.8,27.32
