ts,t_ext,h_ext,t_C_cal,h_C_cal,t_L_cal,h_L_cal
1626775200000000000,38.34842164835738,16.814512418803076,24.146665811727274,37.06662701341034,23.39782644032944,32.938148443508865
1626778800000000000,37.58138332425719,17.578973091513955,24.18343788812238,37.066779267391745,23.416968672118017,32.9622599356242
1626782400000000000,36.783460783673426,18.42808864003681,24.224743306400214,37.06717434333906,23.437132639503297,32.986129016624446
1626786000000000000,35.912501431425405,19.452906027450275,24.279281029562277,37.06829636264425,23.460170391360812,33.00951138692918
1626789600000000000,34.94318473116236,20.717774663765972,24.352002587546075,37.07056376507423,23.48772931683772,33.032875408708406
1626793200000000000,33.869315132219285,22.25209823205435,24.442233366660158,37.07462111886951,23.52085510116757,33.056340467604514
1626796800000000000,32.698431903286256,24.052852668748216,24.544862060670972,37.08101341641985,23.55971613641557,33.07944333251449
1626800400000000000,31.440214495064463,26.081159594626484,24.65260502967835,37.09044853103465,23.604022263635233,33.10283507234261
1626804000000000000,30.101524705888917,28.311612103780593,24.757396679842106,37.10312723335914,23.652886162515923,33.12694627458468
1626807600000000000,28.70198885581066,30.708408361022386,24.851312033691926,37.11955793115321,23.70513029011068,33.15258094250474
1626811200000000000,27.293551351155187,33.19313041012593,24.9273521469591,37.14042988227651,23.75946490851402,33.17957163034599
1626814800000000000,25.929336709689913,35.67377621125507,24.979904955038016,37.1646913119572,23.81494897691939,33.2083442887166
1626818400000000000,24.643533935670696,38.08182908713904,25.005251538520124,37.191704329650676,23.871130138768425,33.23865498022129
1626822000000000000,23.44862199958984,40.40753459839456,25.00187392844651,37.2213053450511,23.92840654773358,33.269854029260955
1626825600000000000,22.355561199249603,42.54798668143361,24.970201640473043,37.252928877289435,23.98454838943293,33.29947916235092
1626829200000000000,21.474325612456354,44.23320392668423,24.912228784304467,37.28379639327116,24.03354178400724,33.32570289954725
1626832800000000000,20.894667038357294,45.28030839109344,24.83108078657412,37.312236435995516,24.071527367702934,33.34731224130752
1626836400000000000,20.68851068664172,45.59884009234143,24.730510786072298,37.337678979712365,24.096310358926367,33.36317049292714
1626840000000000000,20.903744187524453,45.22280869147016,24.61459747735992,37.35998535454795,24.10698070240685,33.37280390040662
1626843600000000000,21.55478673102055,44.34181878193151,24.487614447137165,37.379882526298076,24.10366523928444,33.376544091417216
1626847200000000000,22.63235339860317,43.051246870262645,24.35377264066397,37.398437002388064,24.087421003675118,33.375155803034446
1626850800000000000,24.090444737768596,41.36105127518145,24.21690685872888,37.417158890463575,24.060268377302023,33.36952354163631
1626854400000000000,25.844904428693752,39.29734451336986,24.08023084238047,37.43599817178807,24.025353531851543,33.36066546578716
1626858000000000000,27.8047550375112,36.945795255424606,23.94562259741334,37.45497566419535,23.985386621903697,33.34951377065992
1626861600000000000,29.87815341939985,34.41984872680873,23.813241154531585,37.474297659576315,23.94282426671998,33.33700326879465
1626865200000000000,31.99262554583021,31.823575533764302,23.682039318465183,37.49356008834654,23.89926921934284,33.324182907049796
1626872400000000000,41.06666721767308,12.923918986572893,24.266929115747807,37.429968818136345,23.794055820171952,33.30761979599923
1626876000000000000,39.103522534517936,15.100829039410298,24.408792083336287,37.43268565277408,23.83050906338553,33.310158623737195
1626879600000000000,37.11246117918606,17.335166569048642,24.547902426433954,37.435951285297115,23.86768841506406,33.31350646373183
1626883200000000000,35.060031254155554,19.69876742856143,24.680086266383302,37.440230082521346,23.908014893038626,33.31815219945244
1626886800000000000,32.9258229167793,22.245032471998332,24.800357366929155,37.446778414776375,23.953232630989685,33.32505892175601
1626890400000000000,30.712909345201993,24.988041545790097,24.903678629152502,37.456692777033254,24.004005613667307,33.33478965695501
1626894000000000000,28.4542721550672,27.885174171647492,24.985842713798398,37.468420063140286,24.059965499511684,33.3471623614027
1626897600000000000,26.22476386856649,30.81947491036884,25.04451458622946,37.48104685195729,24.119703890826326,33.36218111103735
1626901200000000000,24.11777761967408,33.634553247702655,25.08041745133699,37.493217947170976,24.181129401586308,33.37943575382484
1626904800000000000,22.228792237011852,36.15507392029377,25.098496034816662,37.50361617002353,24.242620273525112,33.398779536837374
1626908400000000000,20.64585877300501,38.20518946564338,25.101890887850804,37.51144670898542,24.30349345436038,33.41932874525055
1626912000000000000,19.44407369104195,39.63966834871637,25.089757601273575,37.5163331375269,24.361639689074508,33.440097079088304
1626915600000000000,18.682893048599205,40.35459077618487,25.057232857040628,37.518321753355636,24.41191478810629,33.460041014040215
1626919200000000000,18.401832166242897,40.31689027123385,25.003555761094887,37.51714400890405,24.450558165003784,33.47842907978835
1626922800000000000,18.63030470678043,39.56213626746823,24.931302181717957,37.51288533039825,24.47541735816125,33.49466750594708
1626926400000000000,19.388372678023437,38.206145962447266,24.84559576291383,37.505914250675325,24.4858343243229,33.50809125611621
1626930000000000000,20.666711707382422,36.46111519105552,24.753497126869316,37.497834086868366,24.48239684665135,33.51807758180276
1626933600000000000,22.404030362154323,34.42817832855309,24.663194271475415,37.48973446937873,24.466834365065985,33.52418772310258
1626937200000000000,24.468370092562242,32.1148585982895,24.583256890021094,37.48227214351405,24.441885684352997,33.52661892181014
1626940800000000000,26.688732045207736,29.550647440328753,24.521872733080563,37.4763580262632,24.410621265647915,33.52614332000556
1626944400000000000,28.896600332433415,26.838387708751945,24.48589698232784,37.4705045568049,24.376609379909425,33.52353177170086
1626948000000000000,30.92965507946315,24.123749116570224,24.480132758772793,37.46361211042192,24.343312085439717,33.51928266067467
1626951600000000000,32.64024677183282,21.585744772434467,24.50688784996565,37.45640494367443,24.314152619469166,33.51460125695224
1626955200000000000,33.91184601095034,19.395650293829853,24.56566871586891,37.45012270839333,24.292121098373734,33.51021302873538
1626958800000000000,34.663104263838605,17.680467183850528,24.65307960461205,37.4444713112061,24.279566112334678,33.50641045643968
1626962400000000000,34.854637870744355,16.53207377598568,24.76315141049921,37.440109978322965,24.277915040549523,33.50337285316009
1626966000000000000,34.479848795942594,16.011043731885998,24.887800898455076,37.439010799825425,24.28779960109246,33.50148032857712
1626969600000000000,33.5587592916676,16.15029664210899,25.017646652632706,37.44238113085344,24.309072361632193,33.501068226806396
1626973200000000000,32.138759788860874,16.95480832655997,25.142929248200584,37.45097761369871,24.3407078938265,33.502446051644434
1626976800000000000,30.297319792213912,18.400384972056496,25.254212793800885,37.46416338359441,24.380756712383512,33.506453463953
1626980400000000000,28.14497575398413,20.428193773059604,25.34299574195739,37.48001494135488,24.42686225307308,33.51454684456832
1626984000000000000,25.831790928506805,22.93531474097642,25.402317750589205,37.49590654910851,24.476360384541213,33.52783106447041
1626987600000000000,23.518628812577354,25.76387928281681,25.42770518686251,37.5101698965618,24.52648501956985,33.54725448916026
1626991200000000000,21.365868327039465,28.693332324847532,25.418077907104273,37.52254124553015,24.574706467095517,33.573200198277476
1626994800000000000,19.51186877127771,31.486230000507184,25.376078715772813,37.533412735863344,24.61923018585903,33.605015813170084
1626998400000000000,18.057997428072937,33.93352845331921,25.308169638255425,37.54401170225587,24.657764569930265,33.64075403980331
1627002000000000000,17.068669559159865,35.86507152680198,25.224385246114984,37.55477680784357,24.68682571152049,33.677130450794024
1627005600000000000,16.581137118659164,37.15753444660732,25.129678414531824,37.565555084839716,24.704352057141676,33.71275329958604
1627009200000000000,16.61023809237262,37.723578086755396,25.026939984406923,37.575191253179135,24.709413796190574,33.74720787996068
1627012800000000000,17.147249094915416,37.521121310133594,24.921014012495924,37.582935089248224,24.702037597492506,33.780424359361724
1627016400000000000,18.147177693312354,36.603847198761784,24.81797515571042,37.589254155101614,24.6831559919109,33.811781356708345
1627020000000000000,19.522142296972405,35.121602621558466,24.72427126417037,37.59484726920144,24.654681134334254,33.83949783941776
1627023600000000000,21.1332062050381,33.21623764212123,24.64583710310531,37.59997525515884,24.61911028639863,33.86280299712347
1627027200000000000,22.825127960348894,31.061469631165387,24.587114725103078,37.60531410149295,24.57939389839674,33.88083126228141
1627030800000000000,24.44600071036053,28.851770249651715,24.55000447838711,37.61038853027129,24.53854131775731,33.89376894953465
1627034400000000000,25.86075723201617,26.801814644047496,24.53317192756618,37.6148684708919,24.49940431656145,33.90254854661252
1627038000000000000,26.966536961822044,25.128176924990196,24.532282592465197,37.618380574750134,24.464449253712708,33.90774101115735
1627041600000000000,27.708689945782403,23.997231238494965,24.545670273633412,37.620933387386955,24.435148444949014,33.90953257396351
1627045200000000000,28.076264496646907,23.51647905223615,24.574345945695413,37.62220950017764,24.41196607710752,33.908288347186534
1627048800000000000,28.043722027707393,23.729032854836472,24.61636388053946,37.622351867906936,24.394014852575914,33.90525311724231
1627052400000000000,27.621261307289238,24.635715344396303,24.666701557263522,37.62164271430784,24.3792878129708,33.90088045374156
1627056000000000000,26.85422721677409,26.208683890467665,24.718589482826864,37.62020135101762,24.366504518049716,33.89598469538091
1627059600000000000,25.80057020628889,28.367647800067722,24.7645002395252,37.61780091114868,24.355228013076847,33.892549522055965
1627063200000000000,24.52915299924738,31.02741135949077,24.797175060280516,37.61421086186684,24.34435629813589,33.89164422125396
1627066800000000000,23.112741707909507,34.08928419521225,24.810346539255914,37.609216876444634,24.33223509317976,33.894372549159755
1627070400000000000,21.622720005451818,37.39793818374905,24.799502792738963,37.60264847006323,24.316766555180024,33.901267274291115
1627074000000000000,20.133899703527337,40.75959680411037,24.762028471624667,37.59399147440597,24.29653049017644,33.91278410634088
1627077600000000000,18.721956322825463,43.97568597164975,24.697858653426106,37.58289118698287,24.27093903865697,33.92780244589535
1627081200000000000,17.458809720333647,46.85620230034628,24.6093081309401,37.5697113238932,24.24102236954114,33.944373852477405
1627084800000000000,16.408743523144416,49.21838554446251,24.501629777095857,37.55657002269971,24.210101261361892,33.96152682807593
1627088400000000000,15.634119927813629,50.881163435257534,24.38290005017985,37.5453322476429,24.184086268956754,33.9779794694884
1627092000000000000,15.194213695665674,51.69055257581856,24.25517911070758,37.53684271728169,24.16478693454964,33.99300733250423
1627095600000000000,15.137958388746824,51.57117460154686,24.11919811869276,37.53131782769859,24.15017193767488,34.00607284488459
1627099200000000000,15.491512098813352,50.60841228875218,23.978053109708675,37.528447214469935,24.134562088521307,34.016675027732305
1627102800000000000,16.248653333734083,49.01020939500158,23.837011774505328,37.52747097125874,24.112594659719193,34.02411581006497
1627106400000000000,17.36174548038972,46.88942555497461,23.702561272735654,37.52780305291665,24.081561303013622,34.02806370395622
1627110000000000000,18.747665392323622,44.27981830940074,23.581318646307516,37.52903270458272,24.040961056885802,34.02847939671237
1627113600000000000,20.29639974100252,41.25425094345974,23.479602597128697,37.52968023177593,23.992204619514077,34.02583384769109
1627117200000000000,21.888902988414355,37.983899670348464,23.402807529532794,37.52954227963609,23.93829307850794,34.021035444505124
1627120800000000000,23.40516559913705,34.69811247954349,23.35481753616785,37.52869011955672,23.882591189567464,34.01534852200462
1627124400000000000,24.726189007864384,31.665898363817917,23.337888634386577,37.52606960013497,23.82848077760765,34.0099070605947
1627128000000000000,25.750797993298782,29.151160191149422,23.352228666180018,37.52171466877242,23.77901775564783,34.00466655546042
1627131600000000000,26.406955444064028,27.383341845877503,23.39566658719535,37.51676857686934,23.736673228931263,33.99990343118091
1627135200000000000,26.65721626885093,26.539475610430188,23.46360906641798,37.51169742913828,23.703128125144758,33.99592744678071
1627138800000000000,26.497149155243005,26.726843682110072,23.54967277362801,37.50695797785646,23.679113306352477,33.99244932697257
1627142400000000000,25.944500628135245,27.991333502115435,23.646254954608047,37.50213166767636,23.66432835336714,33.989753855334754
1627146000000000000,25.028954811779307,30.33383680209619,23.744983400131673,37.49859399983553,23.65768171393793,33.988374049448524
1627149600000000000,23.80050082414548,33.72149864534774,23.83727335142638,37.4969408255614,23.657438552280347,33.98834538834177
1627153200000000000,22.336588235086268,38.065959060477866,23.9146735490517,37.496715389416444,23.66128721547053,33.989502943881256
1627156800000000000,20.744994939546054,43.197559756307555,23.969443333386216,37.49733319437412,23.66650833172847,33.99148166738365
1627160400000000000,19.142299616785017,48.88156618438633,23.99586197598466,37.49869258951376,23.67076965711945,33.99455481406015
1627164000000000000,17.633797663334562,54.82176819870066,23.991347648401252,37.50116859197095,23.672073864391482,33.998480822448116
1627167600000000000,16.307278146224895,60.64397332472648,23.95635990243035,37.50376595965281,23.669632596388045,34.003039249610985
1627171200000000000,15.243858822519552,65.87310473928608,23.89444481338232,37.50561109788008,23.663936757308708,34.007991511054385
1627174800000000000,14.514766486001633,70.05455497686351,23.81213031208867,37.50666547964968,23.657690016298247,34.013241357060544
1627178400000000000,14.178872675562381,72.83998552455002,23.713499881247074,37.50789280031309,23.651956674928343,34.0182959561345
1627182000000000000,14.277984598566341,74.00451231966815,23.603932367101002,37.50973176709192,23.6462241346077,34.02278006321068
1627185600000000000,14.830370735622436,73.4561847776283,23.489671617081427,37.51238382587132,23.63846022999572,34.02638547366216
1627189200000000000,15.820519721353914,71.2652571906441,23.377422154948313,37.515186438198825,23.62542055440572,34.028826182229864
1627192800000000000,17.185866483027798,67.60392200315297,23.27390845495747,37.5171865606966,23.605476098851064,34.03036899558478
1627196400000000000,18.8318225688794,62.797537269504055,23.185444406178874,37.51815201287755,23.578743648801066,34.03178336766652
1627200000000000000,20.63275904413193,57.301330914924065,23.117241176769287,37.51821511228401,23.54637613782745,34.03370778973158
1627203600000000000,22.452028748319826,51.58025549194471,23.072855490823706,37.517596656329516,23.51053906301393,34.035862919359786
1627207200000000000,24.151156930536203,46.09433357728177,23.053421660669432,37.51648529130477,23.47393416006594,34.038165669567
1627210800000000000,25.600815219057623,41.26186852606487,23.057345443725495,37.51564369693716,23.439324440725446,34.04042432417545
1627214400000000000,26.69699700618861,37.41580369098417,23.083998380804253,37.515819700041035,23.40931690846707,34.0423155103117
1627218000000000000,27.367854198709804,34.78813040613583,23.133678558280785,37.51714635712803,23.386125322358183,34.043361611860576
1627221600000000000,27.57690206667328,33.51059863537285,23.203844078722156,37.51974019437603,23.371120272381496,34.04347852427043
1627225200000000000,27.319060671477356,33.63407703848688,23.28969959244595,37.52217127439167,23.364811095296137,34.04296519353771
1627228800000000000,26.62093559930816,35.12369192527946,23.384865854437077,37.523348621474184,23.366995925137438,34.04216759859798
1627232400000000000,25.538305466000708,37.86231974425821,23.481975714665094,37.52348681990618,23.376824784987768,34.04179297554232
1627236000000000000,24.163072864730225,41.64451669134459,23.57331336455517,37.52545863442218,23.392777738678113,34.04294355114253
1627239600000000000,22.596590667345282,46.20004909835082,23.651426571719142,37.5302269615576,23.412566602189578,34.04627028908159
1627243200000000000,20.94841435038048,51.172821463509,23.709796636789996,37.53774177817037,23.433808747449838,34.05252805086446
1627246800000000000,19.328883483696984,56.12690446073442,23.74364059468351,37.548400791502814,23.45399588036466,34.062258995105246
1627250400000000000,17.837103493652137,60.58797388264061,23.750077513947566,37.562065957682236,23.471114952698652,34.0754466665761
1627254000000000000,16.563557638432993,64.15276981056708,23.728623390516553,37.578265224920926,23.483696290746124,34.091985353431454
1627257600000000000,15.581994504926428,66.54587985975422,23.68074799063991,37.59676951821798,23.491559071274374,34.11087851352362
1627261200000000000,14.951193770301652,67.63186394733677,23.609634846661933,37.61640877698997,23.49568550814326,34.13017641783727
1627264800000000000,14.718281833345285,67.42957319185193,23.51982667768717,37.636703578804614,23.49680889116656,34.14847055222182
1627268400000000000,14.918456488474257,66.13120673903019,23.417019854353562,37.65705208012638,23.494705655076604,34.16497563834834
1627272000000000000,15.566482711772048,64.1060846693502,23.307629147188827,37.676527068298384,23.488184145694063,34.17962169236564
1627275600000000000,16.64685000534648,61.552214995900286,23.19844458272262,37.69381262804426,23.475469288652484,34.192388974039076
1627279200000000000,18.104216377520984,58.51654488507525,23.09634656267935,37.70810257340469,23.455904168128463,34.20311152621032
1627282800000000000,19.832589518383724,54.92049935331093,23.007958315683503,37.719179864867165,23.4300771754121,34.211699501980675
1627286400000000000,21.696684954247637,50.8998379681924,22.93927293806609,37.72732977051851,23.399600993445528,34.218506939189325
