ts,t_ext,h_ext,t_C_cal,h_C_cal,t_L_cal,h_L_cal
1626872400000000000,41.13135517290851,12.995995047731752,23.176401336508007,13.01452369428598,22.36131176459524,13.607595237644713
1626876000000000000,40.21093136034091,13.892367569759804,23.34296442512784,13.01419317551701,22.37849168976539,13.607595512883787
1626879600000000000,39.267745720182134,14.832745658551916,23.50724625900328,13.013876149105178,22.39678263522062,13.60759578414641
1626883200000000000,38.26910358182589,15.876877871841224,23.664614370511217,13.013602904952458,22.417549920034638,13.607596040727302
1626886800000000000,37.183878431499096,17.077571275687614,23.808872601368314,13.013423700769767,22.44219103692894,13.607596262479714
1626890400000000000,35.99446324592625,18.466530824099237,23.933757596954564,13.013411494518504,22.471927979424677,13.607596417249628
1626894000000000000,34.68553721751685,20.052989329755952,24.035524419493427,13.013663736452374,22.50756083067374,13.607596458658236
1626897600000000000,33.240305494456436,21.82198488533192,24.115325849356463,13.014302491179897,22.549699805798465,13.607596324554237
1626901200000000000,31.605367852755393,23.7829423568704,24.182042756053637,13.015471915245067,22.59887951161445,13.607595936599743
1626904800000000000,29.764754346812836,25.93573342822802,24.239902750601367,13.017331869580088,22.656054223545993,13.607595201611328
1626908400000000000,27.77444135250041,28.1924003596927,24.287813016455516,13.02004622526471,22.72068942190123,13.607594015439574
1626912000000000000,25.78075770222159,30.35562807727011,24.318781709565968,13.02376426398289,22.789690044752874,13.607592270318944
1626915600000000000,24.04028781485487,32.09617750336898,24.319438855718047,13.028593534465934,22.856754135954606,13.607589866729512
1626919200000000000,22.734891865589876,33.216086612958684,24.284309996934766,13.034562672105324,22.916849505579272,13.607586730848164
1626922800000000000,21.98852715146766,33.64384827264156,24.214309620015268,13.041573106247878,22.966376422340147,13.607582838584488
1626926400000000000,21.87888538420672,33.43262781622371,24.115259111789356,13.049339368819362,23.003233326561386,13.60757824693959
1626930000000000000,22.424273004010878,32.72848542811812,23.996586762886675,13.057583540249734,23.026654894343743,13.607573132928731
1626933600000000000,23.571290930575223,31.595155014575585,23.87023493948563,13.065957586847416,23.036843468522356,13.60756783949778
1626937200000000000,25.183880686888074,30.021085627565668,23.749180140135763,13.073960919085003,23.03473484298892,13.607562926663308
1626940800000000000,27.084770886631965,28.034274768912198,23.645946513991756,13.081121201399945,23.021896376949904,13.607559224446915
1626944400000000000,29.08957860934785,25.752872720526984,23.571748226988753,13.087251019211575,23.00054808118189,13.607557882003567
1626948000000000000,31.01615655904369,23.339520349966037,23.53550664658865,13.092304126025219,22.97369100269197,13.607560404643761
1626951600000000000,32.70171165363395,20.985329797580107,23.542925657983453,13.096314145254084,22.944404041008745,13.60756866725796
1626955200000000000,34.01637257877597,18.870101333553603,23.596104079899266,13.09960858941778,22.916029185633874,13.607584889090177
1626958800000000000,34.86266757025741,17.133698596761782,23.692961474482345,13.102768759950036,22.89154771899226,13.607611551111841
1626962400000000000,35.18021113807817,15.884117546077709,23.827623029746633,13.106332252490406,22.873780631652465,13.607651233803484
1626966000000000000,34.940263843808324,15.199380790770464,23.990738864415796,13.110833505251673,22.864633436993138,13.607706350534517
1626969600000000000,34.142738683091714,15.126124310102918,24.169955594188778,13.117633964967181,22.86527384207642,13.607778750736331
1626973200000000000,32.82089601313411,15.681073608763576,24.350595779453695,13.12873277421776,22.87622321959451,13.607869168734966
1626976800000000000,31.04948547097704,16.847276281673253,24.516949091323447,13.145905116034564,22.89735020381886,13.607976499749105
1626980400000000000,28.94679773353066,18.570635854331783,24.654299243116384,13.170591225806561,22.92776119682495,13.608096895710077
1626984000000000000,26.66829528966201,20.761916422755608,24.750510457237624,13.204253768395708,22.965589098650078,13.608222691951717
1626987600000000000,24.377222650902826,23.286009057751166,24.797653963661098,13.247072775972553,23.008522530696613,13.608341203250754
1626991200000000000,22.229891375888215,25.961102332564007,24.79321255445504,13.298402673390356,23.053844223380423,13.608433465864396
1626994800000000000,20.365924130077588,28.574191396528846,24.740692482051067,13.355814987575982,23.098751681810413,13.608473052417347
1626998400000000000,18.886281028807836,30.939114921109294,24.649667873336245,13.41607615005876,23.140903968861668,13.608425149275662
1627002000000000000,17.857012946115056,32.89813633047033,24.535722597043794,13.473346822592244,23.177389297257832,13.608246160681212
1627005600000000000,17.31747461241394,34.32629456623252,24.406943843173558,13.524127566729412,23.205970173367284,13.607884187783114
1627009200000000000,17.283783961991347,35.12681387337835,24.26506157575494,13.566687459697302,23.225635210585786,13.60728683142366
1627012800000000000,17.749300849676654,35.23457221789465,24.11248632038559,13.600560254755656,23.23631332057543,13.606400803267313
1627016400000000000,18.668297290679337,34.67167942703448,23.95472798690561,13.626116798367246,23.23851039622579,13.605175895064292
1627020000000000000,19.953802291712098,33.54073293920526,23.79967162195125,13.644228947447285,23.231702530554024,13.603573838932151
1627023600000000000,21.470995219914183,31.973196731877437,23.65607165895639,13.656012681327319,23.21598071261503,13.601580556437803
1627027200000000000,23.070244692235,30.13521836222027,23.532503996953544,13.662648904046236,23.192118906158157,13.599222179158836
1627030800000000000,24.60362604009147,28.21363008675094,23.43656715171901,13.66526632842966,23.16173126780661,13.596586985808456
1627034400000000000,25.94009548131149,26.41366197836438,23.37395126572621,13.664875113862738,23.127010765121994,13.593846981708278
1627038000000000000,26.981406306655394,24.93665780908806,23.347730809931374,13.662338708146338,23.090533052987876,13.59128425072184
1627041600000000000,27.670274488434025,23.93382473116578,23.35814983354257,13.658372529360875,23.054785496818404,13.589340220386502
1627045200000000000,27.995851935891675,23.511753318750465,23.401975077668546,13.653568608505298,23.022183464831183,13.588643475732407
1627048800000000000,27.939171146721634,23.730862565350044,23.473225118415957,13.648435251284944,22.99459447027564,13.590029199585835
1627052400000000000,27.514124281076455,24.593726658557692,23.563444235660228,13.643445077320107,22.973209646298354,13.594546140015746
1627056000000000000,26.760211787641506,26.0860111603131,23.662344458092647,13.639086353718243,22.958274181343164,13.60344275309525
1627059600000000000,25.728459538958045,28.142777699303707,23.758670038714556,13.635912896813597,22.949301167390928,13.618122033497299
1627063200000000000,24.481791289690925,30.693727792613835,23.841291785946378,13.634587659403238,22.945220954609066,13.640052548363892
1627066800000000000,23.08702801729723,33.65649881669839,23.900130171457747,13.6359144653161,22.945743608763827,13.670621644502054
1627070400000000000,21.609283897448243,36.89690198119725,23.927359415725498,13.640851261787079,22.95012698607536,13.710916143235174
1627074000000000000,20.123580603420052,40.23262795202776,23.91837465973411,13.650496851397909,22.957171506676172,13.761416649441612
1627077600000000000,18.705596969514264,43.48214837529528,23.87229745031081,13.666041524112455,22.96517632083803,13.821594606567386
1627081200000000000,17.426685114907368,46.47906316303943,23.792065587685478,13.688670601380593,22.971868863765913,13.88940729156409
1627084800000000000,16.35147452241403,49.06781741021352,23.683893897584866,13.719408989411075,22.975324807456417,13.960696035317644
1627088400000000000,15.542411157033179,51.02123224680713,23.556409883192213,13.758894888398842,22.973901135268473,14.02850809579832
1627092000000000000,15.058426238539592,52.14461729537436,23.413402108714898,13.80707240864472,22.96620158248645,14.08868377062321
1627095600000000000,14.94819354180439,52.32215318933457,23.260261706195045,13.862796711565547,22.951090873042013,14.139178276451421
1627099200000000000,15.240052579313284,51.58907438915337,23.10357911992095,13.923618901158385,22.927771715041978,14.179459992235829
1627102800000000000,15.934360928133955,50.11922715673637,22.95067551045232,13.98709544763797,22.895935907862736,14.210005514164795
1627106400000000000,16.993075639540955,48.03693064646132,22.809199883513294,14.04979208675292,22.85599753373026,14.231896838504321
1627110000000000000,18.333560155527483,45.37431174113854,22.68654448972346,14.108636933108798,22.808827982458567,14.246515906378766
1627113600000000000,19.85033807078225,42.2152189262047,22.589100489958213,14.160632907716371,22.75573866852436,14.255325690527442
1627117200000000000,21.42501404510535,38.75492423635173,22.521143600195693,14.203263228921976,22.69845272657976,14.25972400462587
1627120800000000000,22.937871175770887,35.247092971555,22.48369489515084,14.235304785994806,22.63913590459167,14.260955405444312
1627124400000000000,24.27494241960192,31.970507856093043,22.472230680203307,14.256401835914827,22.580080534372293,14.260067209706763
1627128000000000000,25.34054868833045,29.199480684528854,22.48194586733679,14.266745587802067,22.523743144243504,14.257897180082788
1627131600000000000,26.064261469492486,27.178173728420077,22.512313061732968,14.266863232417407,22.472446123850112,14.255082407144887
1627135200000000000,26.407024541518524,26.100310008034647,22.566985409900163,14.25751450464372,22.428274431394506,14.252081009664742
1627138800000000000,26.35273906814414,26.089830806356296,22.646492927729366,14.239690507039708,22.392888563840586,14.249200282342594
1627142400000000000,25.900485967689725,27.20909097295509,22.745862443679243,14.214707197117633,22.36749960717164,14.246626709782028
1627146000000000000,25.0676369496124,29.475365231155674,22.856564947840244,14.184383627319361,22.352389761732546,14.2444547737632
1627149600000000000,23.90272553035905,32.86642072788649,22.967862805866016,14.151291778115572,22.34716623179644,14.242712688968442
1627153200000000000,22.477358856880446,37.28927095776444,23.068369400598485,14.119059793703762,22.350912324019145,14.241384122342456
1627156800000000000,20.89828348749043,42.56909854146087,23.147269486820903,14.091902900500262,22.362239682738515,14.240425613940253
1627160400000000000,19.285972391934042,48.455943390069486,23.195730791977226,14.075212393651041,22.37925082905221,14.239779862593426
1627164000000000000,17.748188432354134,54.64033624745121,23.20781198500682,14.071415084751607,22.39942588723051,14.239385310994162
1627167600000000000,16.37683474697424,60.72841509023296,23.18061442692929,14.080818994794292,22.420035806586505,14.239182603208718
1627171200000000000,15.256749256361008,66.22424786590044,23.114244692247496,14.101117993923918,22.438357277560982,14.239118530193412
1627174800000000000,14.461168200278006,70.65411837103704,23.01175321119502,14.127831095670691,22.451799965862197,14.239148056872466
1627178400000000000,14.049510325925189,73.65365125690047,22.87854796708295,14.157832800292244,22.45838996442278,14.239234962868169
1627182000000000000,14.064499365166395,74.98109665770477,22.721836077777084,14.188819297089495,22.456635366516732,14.239351547234076
