ts,t_ext,h_ext,t_C_cal,h_C_cal,t_L_cal,h_L_cal
1652232840587000000,10.5,75.6,18.9,11.07,18.0,35.54
1652232233753000000,10.7,76.8,18.9,10.71,18.0,35.95
1652231930651000000,10.8,75.3,19.0,11.07,18.0,35.95
1652231627816000000,10.8,75.0,19.0,11.07,18.0,35.54
1652231324877000000,11.0,75.3,19.0,11.43,18.0,35.95
1652231021574000000,10.9,74.7,19.1,10.71,18.0,35.95
1652230718080000000,10.9,72.9,19.1,11.07,18.0,35.54
1652230414620000000,11.3,71.7,19.1,11.07,18.0,35.54
1652230111461000000,11.5,73.1,19.2,10.71,18.1,35.54
1652229807647000000,11.7,71.2,19.2,11.07,18.0,35.54
1652229504153000000,12.0,70.5,19.2,10.71,18.0,35.54
1652229201041000000,12.1,71.9,19.2,10.71,18.1,35.95
1652228897690000000,11.9,70.8,19.3,10.71,18.1,35.95
1652228594179000000,12.2,70.2,19.3,11.07,18.1,35.54
1652228291068000000,12.3,69.2,19.3,10.71,18.1,35.95
1652227988018000000,12.1,71.2,17.4,11.07,18.1,35.54
1652227685123000000,11.6,72.4,17.4,10.71,18.1,35.54
1652227381931000000,11.7,71.3,17.4,10.71,18.1,35.95
1652227078395000000,12.0,70.0,19.5,10.71,16.6,35.54
1652226774979000000,12.2,71.1,19.5,10.71,16.6,35.54
1652226471666000000,12.3,70.0,19.5,10.71,16.6,35.95
1652226168712000000,12.6,68.4,19.6,10.71,18.0,35.54
1652225258725000000,12.3,70.8,19.7,10.71,18.0,35.54
1652224349901000000,12.0,69.7,19.8,10.71,18.0,35.54
1652224046203000000,12.1,68.8,19.8,10.71,18.0,35.54
1652223743076000000,12.3,68.2,19.8,10.71,18.0,35.54
1652223136600000000,12.5,68.9,19.9,10.71,18.0,35.95
1652222833202000000,12.4,68.7,19.9,10.71,18.0,35.54
1652222530372000000,12.5,68.7,19.9,10.71,18.0,35.54
1652222226828000000,12.6,68.3,20.0,10.71,18.0,35.95
1652221923140000000,12.6,68.2,20.0,10.71,18.0,35.54
1652221620017000000,12.7,67.6,20.0,10.71,18.0,35.54
1652221316730000000,12.9,66.8,20.1,10.71,18.0,35.54
1652221013339000000,13.0,67.4,20.1,10.71,18.0,35.54
1652220709735000000,13.1,66.5,20.1,10.71,18.0,35.95
1652220406274000000,13.4,65.3,20.1,10.71,18.0,35.95
1652219799490000000,13.7,64.3,20.2,10.71,17.9,35.54
1652219496419000000,13.7,64.7,20.2,10.71,17.9,35.54
1652219193006000000,13.9,63.4,20.2,10.36,17.9,35.54
1652218890083000000,14.1,63.1,20.3,10.71,17.9,35.95
1652218586346000000,14.3,62.0,20.3,10.71,17.9,35.54
1652218283263000000,14.4,62.5,20.3,10.71,17.9,35.54
1652217979898000000,14.6,61.9,20.3,10.71,17.9,35.95
1652217676181000000,14.8,61.5,20.4,10.71,17.9,35.95
1652217069620000000,15.1,59.4,20.4,10.71,17.8,35.54
1652216463835000000,15.5,58.1,20.5,10.71,17.8,35.54
1652216160663000000,15.8,57.3,20.5,10.71,17.8,35.54
1652215857532000000,15.9,57.7,20.5,10.71,17.8,35.54
1652215251234000000,16.4,57.0,20.5,10.71,17.7,35.95
1652214948469000000,16.6,55.1,20.5,10.71,17.7,35.54
1652214645163000000,17.0,54.2,20.6,10.36,17.7,35.54
1652214341487000000,17.5,53.0,20.6,10.71,17.7,35.54
1652214037979000000,17.8,52.4,20.6,10.71,17.7,35.54
1652213734452000000,18.3,50.6,20.6,10.71,17.7,35.54
1652213431390000000,18.6,50.2,20.6,10.71,17.6,35.54
1652213128206000000,18.5,50.5,20.6,10.71,17.6,35.54
1652211914937000000,19.8,46.4,20.6,10.71,17.5,35.95
1652211611748000000,20.3,45.5,20.6,10.36,17.5,35.54
1652211308138000000,20.6,44.6,20.6,10.71,17.5,35.54
1652211005003000000,20.9,43.4,20.6,10.71,17.5,35.54
1652210701751000000,21.4,42.0,20.6,10.36,17.5,35.95
1652210398481000000,22.0,40.6,20.6,10.71,17.4,35.95
1652210095494000000,22.6,39.4,20.6,10.71,17.4,35.95
1652209791875000000,23.2,37.4,20.6,10.71,17.4,35.54
1652209488929000000,23.9,35.3,20.6,10.71,17.4,35.95
1652208580001000000,25.8,32.7,20.6,10.71,17.3,35.54
1652208277027000000,26.4,30.7,20.5,10.36,17.3,35.54
1652207973744000000,26.8,28.8,20.5,10.71,17.3,35.95
1652207670230000000,27.3,27.9,20.5,10.71,17.2,35.54
1652207366873000000,28.0,25.7,20.5,10.71,17.2,35.95
1652207062757000000,28.6,24.9,20.5,10.71,17.2,35.95
1652206759427000000,29.2,23.7,20.4,10.71,17.2,35.54
1652206455741000000,29.5,23.7,20.4,10.71,17.1,35.95
1652206152643000000,29.5,23.8,20.4,10.71,17.1,35.95
1652205849369000000,30.0,23.5,20.4,10.71,17.1,35.54
1652205546109000000,30.5,22.2,20.3,10.71,17.1,35.54
1652205242960000000,30.3,21.8,20.3,10.71,17.0,35.54
1652204940051000000,30.7,20.7,20.3,10.36,17.0,35.54
1652204636921000000,31.3,20.6,20.2,10.71,17.0,35.54
1652204333419000000,31.2,20.3,20.2,10.71,17.0,35.95
1652204030286000000,31.1,20.5,20.2,10.71,16.9,35.54
1652203727210000000,30.8,20.9,20.1,10.71,16.9,35.54
1652203424346000000,30.4,21.6,20.1,10.71,16.9,35.95
1652202515574000000,30.1,21.3,20.0,10.71,16.8,35.95
1652202212508000000,29.7,21.1,20.0,10.71,16.8,35.54
1652201909290000000,30.0,21.3,19.9,10.71,16.8,35.95
1652201606474000000,31.1,20.8,19.9,10.71,16.8,35.95
1652200999581000000,30.6,20.3,19.8,10.71,16.7,35.95
1652200696347000000,31.2,20.8,19.7,10.71,16.7,35.54
1652199786278000000,32.1,19.4,19.6,10.71,16.6,35.54
1652199483428000000,31.6,19.3,19.5,10.71,16.6,35.95
1652199179469000000,31.1,19.7,19.5,10.71,16.6,35.95
1652198572786000000,31.5,19.7,19.3,10.71,16.5,35.95
1652198269531000000,31.0,20.2,19.3,10.71,16.5,35.95
1652197966004000000,30.5,19.8,19.2,10.71,16.5,35.95
1652197670445000000,30.6,20.7,19.2,10.71,16.5,35.54
1652197359583000000,30.9,20.3,19.1,10.71,16.4,35.95
1652197056516000000,31.5,19.8,19.0,10.71,16.4,35.95
1652196759866000000,31.8,20.0,19.0,10.71,16.4,35.54
1652196449693000000,31.6,20.7,18.9,10.71,16.4,35.54
1652196146749000000,30.9,21.0,18.8,10.71,16.4,35.95
